name;Цена;Порционность;;;Белки;Жиры;Углеводы;Витамин C;Витамин B1;Витамин E;Витамин B3 (PP);Железо;Витамин А;Натрий;Магний;Витамин B2;Калорийность;Калий;Кальций;Фосфор;Холестерин;Клетчатка
Ставрида;16,5;0;2;4;18,5;4,5;0;1,5;0,17;0,9;10,7;1,1;10;70;40;0,12;114;350;65;260;70;0
Судак;26;0;2;4;18,4;1,1;0;3;0,08;1,8;5,1;0,5;10;35;25;0,11;84;280;35;230;60;0
Треска;17;0;2;4;16;0,6;0;1;0,09;0,9;5,8;0,5;10;55;30;0,07;69;340;25;210;40;0
Хек;7;0;2;4;16,6;2,2;0;0,5;0,12;0,4;4,3;0,7;10;75;35;0,1;86;335;30;240;70;0
Мясо (баранина);25;0;2;4;15,6;16,3;0;0;0,08;0,6;7,1;2;0;80;20;0,14;209;270;9;168;70;0
Мясо (говядина);16;0;2;4;18,6;16;0;0;0,06;0,4;8,2;2,7;0;65;22;0,15;218;326;9;188;80;0
Мясо (индейка);21;0;2;4;19,5;22;0;0;0,05;0,3;13,3;1,4;10;90;19;0,22;276;210;12;200;210;0
Мясо (кролик);19;0;2;4;21,2;11;0;0;0,12;0,5;11,6;3,3;10;57;25;0,18;183;335;20;190;40;0
Мясо (куриное);10;0;2;4;18,2;18,4;0;0;0,07;0,5;12,5;1,6;72;70;18;0,15;238;194;16;165;80;0
Мясо (свинина жирная);12;0;2;4;11,7;49,3;0;0;0,4;0,4;4,8;1,4;0;47;20;0,1;491;230;6;130;70;0
Мясо (цыплята бройлеры);13;0;2;4;18,7;16,1;0;0;0,09;0,3;11,1;1,3;40;70;19;0,15;220;236;14;160;70;0
Печень говяжья;8,5;0;2;4;17,9;3,7;5,3;33;0,3;0,9;13;6,9;8367;104;18;2,19;127;277;9;314;270;0
Колбаса московская;27;0;1;3;19,1;36,6;0,2;0;0,13;0,6;9,2;2,4;0;1510;23;0,16;406;399;26;182;80;0
Колбаса сервелат;25;0;1;3;24;40,5;0,2;0;0,52;0,7;10,1;2,1;0;2226;30;0,2;461;400;38;271;70;0
Колбаски охотничьи;20;0;1;3;25,3;40;0,3;0;0,23;0,6;8,8;2,6;0;1468;25;0,13;463;316;27;217;60;0,1
Пельмени отварные;10;0;2;4;9,9;13,9;13,5;0;0,17;0,6;3,6;0,9;0;551;13;0,08;219;131;17;78;55;1
Сардельки говяжьи;17;0;1,4;3;11,4;18,2;1,3;0;0,04;0,4;4,5;1,8;0;823;16;0,09;215;193;26;131;50;0,2
Сардельки свиные;15;0;1,4;3;10,1;31,6;1,8;0;0,25;0,4;4,3;1,2;0;898;18;0,12;322;215;16;139;70;0,1
Сосиски говяжьи;15;0;1,4;3;10,4;20,1;0,8;0;0,03;0,5;4,7;1,8;0;891;15;0,09;226;200;25;139;52;0
Сосиски молочные;15,5;0;1,4;3;11;23,9;0,4;0;0,19;0,4;4,6;1,8;0;807;20;0,15;261;220;35;159;52;0
